,Titulo,Temple anímico,Letra
63,El tiempo,"['Melancolía', 'Nostalgia']","El tiempo, se ha convertido en mi peor enemigo 
porque, me esta quitando las cosas queridas 
se lleva la juventud de mis años floridos 
y al fin se va llevando hasta mi propia vida 
¡ay! se lleva la juventud de mis años floridos 
y al fin se va llevando hasta mi propia vida 

Y ya me quito la niñez de mis hijos 
y hoy no puedo verlos jugando en el patio 
la juventud de mis viejos queridos 
hoy solo han quedado plasmado en retratos 
tambien se fueron algunos amigos 



que andaban conmigo cuando era muchacho 
tambien se fueron algunos amigos 
que andaban conmigo cuando era muchacho 

El mundo, se esta quedando hasta sin sentimientos 
se alejan, del corazon las pasiones sinceras 
se mueren todas las flores de la primavera 
y todo, por la imparable carrera del tiempo 
se mueren todas las flores de la primavera 
y todo, por la imparable carrera del tiempo 


Y ya se perdieron las cartas sentidas 
de aquellos amores los que un dia partieron 
la inspiracion de mi musa querida 
era un canto alegre, hoy es un lamento 
y la que ha sido el amor de mi vida a veces me mira con resentimiento 
y la que ha sido el amor de mi vida a veces me mira con resentimiento.

El hombre, con el afan de sembrar la violencia 
se olvida, hasta de Dios y su inmensa ternura 
y todas las intenciones de paz y cordura 
se pierden bajo la sombra de la indiferencia 

Y desperdiciamos preciosos momentos 
buscando el dinero que un dia prometimos 
y soportamos con remordimiento 
la triste nostalgia de los tiempos idos 
y las promesas que no se han cumplido
 las cubre el olvido por culpa del tiempo 
y las promesas que no se han cumplido
 las cubre el olvido por culpa del tiempo
"
64,El tren de mis años,"['Melancolía', 'Nostalgia']",": Me van venciendo los años como vencieron a mis viejos

Hoy mas que nunca me encuentro solo me siento extraño
veo que los años me van venciendo poquito a poco
veo que los años me van venciendo poquito a poco
cuanto yo diera por detener el tren de mis años
es imposible va con el tiempo y no he de lograrlo

Ya la juventud se me fue se fue de mi lado
hoy el mundo de la vejez me carga en sus manos
cuanto diera yo por volver a tener veinte años
quisiera volver a mi ayer  pensarlo es en vano




Se que ahora me toca seguir el camino que marca mi final
tarde o temprano pasaremos todos por ese mismo lugar
cuanto diera por detener el tren de mis años
es un imposible ya ven pensarlo es en vano

Tiempos de infancia de adolescencia de juventud se me fueron
todo ha pasado hace mucho tiempo que en mi quedaron recuerdos
todo ha pasado hace mucho tiempo que en mi quedaron recuerdos
yo no quisiera verme agobiado en si por los años
hoy me ha tocado, mañana a ti, ya otros pasaron

Hoy por hoy me toca vivir, ya sugestionado
yo no me quisiera morir, ya esta destinado
tengo que agradecer a Dios, lo que he disfrutado
me regalo la juventud, tiempos añorados

Se que ahora me toca seguir el camino que marca mi final
tarde o temprano pasaremos todos por ese mismo lugar
cuanto diera por detener el tren de mis años
eso es imposible ya ve pensarlo es en vano
tengo que agradecer a Dios lo que he disfrutado
me regalo la juventud tiempos añorados
cuanto diera por detener el tren de mis años
eso es imposible ya ve pensarlo es en vano
"
65,"Los años

221","['Melancolía', 'Nostalgia']","Vienen cayendo en silencio los años
y se posan en mis hombros por siempre
hay noches que me despierto llorando
 porque mi juventud desaparece.

Siento que a veces me tiemblan las manos
mi corazon deja ya, de ser fuerte
 pero yo sigo cantando y cantando
 para que llegue contenta la muerte.

Por que, los espejos no mienten
y ya mi cabello esta blanco
por que por que por que los espejos no mienten ¡ay!
 y ya, mi cabello esta blanco.

Ya las mujeres me ven diferente
 hoy solo encuentran en mi, el pasado
y comentan entre si, que valiente
pero es que ya se le nota cansado.
 Si yo pudiera parar, la carrera
 que galopante cabalgan los años
 y enamorarme de nuevo de aquella
que un dia deje alla en el pueblo esperando,

Quizas, ella tambien recuerda
pero, ya es tarde por los años
 quizas, quizas, quizas ella tambien recuerde ¡ay!
pero, ya es tarde por los años.
"
66,Recuerdos,"['Melancolía', 'Nostalgia']","Yo vengo buscando recuerdos
 que el tiempo no pudo borrar
que vagan por mi pensamiento
 como las notas de un cantar

Yo quiero encontrar a los amigos, la escuela, el rio, la luna, el maizal
quiero bañarme en ese rio, lo mismo que cuando era un niño
cuando comenzaba a soñar
quiero bañarme en ese rio, lo mismo que cuando era un niño
cuando comenzaba a soñar

Yo quiero volver, a cada lugar donde mis pies dejaron huella
yo quiero volver, a ver en la noche esa hermosa luna plateña
yo quiero recorrer esos lugares, donde me gradue de soñador
donde lance mi primer verso al aire, donde sembre mi primera ilusion




Golondrinas que vuelan en la tarde
a la orilla de un rio cantador
y escuchar como flotando en el aire
 el grito alegre de algun pescador

Porque aqui en mi pueblo se quedaron
 mis mejores años  mi mejor cancion
deje lo mejor de mi pasado
 se quedo un pedazo de mi corazon
se quedo un pedazo de mi corazon

Yo vengo desandando huellas
 buscando el niño que hay en mi
yo vengo buscando mi estrella
 yo se que mi estrella esta aqui

Algunos amigos se han ido ya por el camino que marca el final
pero tu recuerdo esta vivo, Uchi, Nando y Jorgito
 yo nunca los podre olvidar
yo siento que ellos estan conmigo 
creo que se encuentran confundidos
 por los aplausos que me dan

Si me ven llorar,
 por favor no digan que este que canta es cobarde
yo vine a cantar
 pero muy adentro siento que el alma me arde

Hay muchos recuerdos que me enguayaban
que del pasado surgen otra vez
y se clavan en el fondo de mi alma
lo siento como un grito del ayer

Y el viejo corralon donde jugaba
las citas en la virgen de la ye
diciembre callecitas adornadas
son cosas que jamas olvidare

Porque aqui en mi pueblo se quedaron…
"
67,Recuerdos de mi tierra,"['Melancolía', 'Nostalgia']","Lucero, que vaga errante, sin decir nada
tardes de diciembre linda que oye mi pena
quisiera decirle amigos, cuantos los quiero
y en cada verso, llevo un recuerdo
de chorros mansos de la Malena.

Que llevo dentro muy dentro el sabor a pueblo
de tanta brisa en los aguaceros
y tanta paz que hay en mi alma buena.

Ver correr, a esos muchachos
jugando alegres besando el viento
subir el cerro tocar la nubes
ver desde arriba el dia de san Pedro




Ay Patillal vuelvo aqui, un ratico nada mas
no es igual, para mi, la vida comenzo a cambiar
un dia si, el otro ya, ya me tengo que marchar

Mi Patillal, quiero ser, ese niño que un dia ayer
tanto jugo, tanto corrio, con su inocencia de papel
que daria yo, verme otra vez, ese tiempo no ha de volver


Y con todo aquel que vaya a mi pueblo
ahi les mando mi recuerdo 

Calles llenas de nostalgia, nunca me olviden
tu que has sentido mis huellas de tantos años
y aunque tengo que alejarme
queda conmigo un trago del alma
con mi cariño, y el corazon para mis paisanos
Y esa noviecita que tuve cuando niño
y que jugando crecio conmigo
ojala el cielo la este cuidando.

Esas parrandas que nunca olvido
me dan mas fuerza me dan aliento
les agradezco que no me olviden
si es que no puedo volve a mi pueblo.

Ay Patillal vuelvo aqui un ratico nada mas.

Mi Patillal quiero ser ese niño que un dia ayer…

Y con todo aquel que vaya a mi pueblo…
"
68,"Tiempos de cometa

227","['Melancolía', 'Nostalgia']","

Cuanto deseo, por que perdure mi vida,
que se repitan, felices tiempos vividos,
el primer trago a escondidas, ¡ay!, la primera novia en olvido,
ya mi juventud declina, al compas de tiempos idos.

Esos momentos los vivi,
 al fin y al cabo triste son,
no volveran nunca a existir, eso me parte el corazon,
mi ansiedad titila al oir de Gustavo Gutierrez un son
mi ansiedad titila al oir de Gustavo Gutierrez un son.

No volveran, los tiempos de la cometa,
cuando yo niño, brisas pedia a San Lorenzo,
mariposa en la Malena, revoletean son recuerdos,
y el profesor que me pega, por llegar tarde al colegio.

Yo le pregunto y que me diga, esa luna patillalera,
por que el reemplazo de la vida, por que sufrir mi madre buena,
por que hay sufrimiento lunita, que no llore el niño siquiera
por que hay sufrimiento lunita, que no llore el niño siquiera.
"
69,Ay hombe,"['Culpa', 'Pena', '\nAnsiedad', 'Esperanza']","Hermoso cañaguate florecido
si pasa dile que deje el afan
por favor embellecele el camino
que pise de tus flores al andar

No quiere nada de mi
ni mi adios quiso aceptar
tantas veces le menti
que hoy me duele la verdad




Tuvo toda la razon
para marcharse lo se
como buen guajiro yo
mi falta la pagare

Ay hombe, olvidarla es imposible
Ay hombe, esto para mi es terrible
Ay hombe, sin su amor yo no soy nada
Ay hombe, que vacio hay en el alma

Y ya comprobe, que no puedo vivir sin ella
nada esta bien, desde que a mi lado no esta
ahora no se, si lloro, si canto mis penas
voy a perder, despues que tanto iba a ganar

Ay hombe, olvidarla es imposible
Ay hombe, esto para mi es terrible.

Si llega a hacer un alto en el camino
Dios mio no dejes que me vaya a odiar
la quiero como a nadie habia querido
si vuelve se lo voy a demostrar

Donde este se va a enterar
que no he vuelto a ser feliz
que mi vida no es igual
desde que ella no esta aqui

Cuando escuche esta cancion
va a saber que hay ansiedad
tengo fe de que mi sol
donde este la va a encontrar.

Ay hombe, olvidarla es imposible…

Ya comprobe que no puedo vivir sin ella…

Ay hombe olvidarla es imposible…
"
70,Con el alma en las manos,"['Arrepentimiento', 'Culpa', '\nPena', 'Esperanza']","Triste este invierno me hizo recordarte
eran tantas penas por tu despedida
hoy venci mi orgullo y vine a buscarte querida, querida

Quiero que me escuches enternece el alma
vengo a suplicarte quiero me perdones
jamas esta ausencia vieras como sangra
el alma de un hombre

Triste las mañanas me preguntan siempre
donde estan los ojos que me deslumbraban
sufro cada noche al querer tenerte
y tu no estas en la cama tu no estas

Me atormenta saber que te engañe
que te marchaste un dia con la razon
yo se que injusto fui perdoname
mirame que en las manos tengo el alma




Tus lagrimas pague tambien llore
y lloro a cada instante por tu adios
por favor ven conmigo otra vez
a la ilusion de este hombre que te ama
a la ilusion de este hombre que te ama

Volvamos otra vez y sere tuyo siempre, siempre
si no quieres volver se que me muero por Dios vuelve
volvamos otra vez y sere tuyo hasta la muerte
ya no te engañare mas te lo juro por Dios vuelve

Es un imposible olvidar tu imagen
la llevo grabada en mi pensamiento
quiero confesarte que intente olvidarte
 fue en vano no puedo

En otros amores intente buscarte
pero simplemente perdi en mis intentos
tu no me gritabas sin querer pensarte
despues de un te quiero

Hice por tus sueños este largo viaje
enfrente el orgullo que me detenia
me lance a un abismo y vine a buscarte
arrepentido por tu amor vine a rogar

Se que tus sentimientos lastime
pero al sufrir por ti pague mi error
yo se que injusto fui perdoname
mirame que en las manos traigo el alma

Tus lagrimas pague tambien llore
y lloro a cada instante por tu adios
por favor ven conmigo otra vez
a la ilusion de este hombre que te ama
a la ilusion de este hombre que te ama

Volvamos otra vez y sere tuyo siempre, siempre…
"
71,"Déjenme llorar

233","['Arrepentimiento', 'Culpa', '\nPesar', 'Resignación']","

Dejenme decir que al fin se desbordo el amor del que tanto abusaba 
dejenme gritar que yo soy el culpable de que ya a mi me dejaras
dejenme llorar de amor porque el amor que me entregabas
alegremente lo botaba viendo sangrar su corazon, sin compasion

Dejenme gritar que yo soy hombre solo en mi camino
que me he labrado mi destino que ya no tengo salvacion
en cambio ella callaba sus penas o era flor que el rocio no rego 
ya es muy tarde ya todo es quimera soy el cauce que el viento seco
 
Hoy me debo resignar tratando de desviar mi loco sentimiento
dejo a la brisa y al mar mi triste sollozar y mi arrepentimiento
quisiera verla llegar sonreida como en otros tiempos
ciñendole su fajon negro su cinturita de cristal, no puedo mas

Siento su mano llegar acorazandome mi pecho
siento su corazon tan tierno vaya que triste realidad

Me torturo contando recuerdos 
me enajena sentirla callar
ay amigos denme su consejo
hoy que lloro dejenme llorar
"
72,Lejos de mis ojos,"['Culpa', 'Soledad', 'Pena']","Murio en mis propias manos una flor
tan lejos de mis ojos se me fue
como pude causar tanto dolor
como si era tan tierna y en mi vida andariega
 un dia la iba a perder

Fueron noches eternas sin mi voz
mi vida en lo mas hondo de su ser
mi vida de viajero trovador
no supo caer en cuenta que aunque ella era tan buena
 un dia la iba a perder

Y sucedio lo que nunca esperaba




un dia volo tan lejos de mi alma
y hoy siento pena aqui en mi corazon

En medio de tanta gente 
hay un hombre que esta solo
que no sabe lo que siente
que a veces parece un loco

En medio de tanta gente hay soledad
y hay un hombre que no quiere vivir mas
en medio de tanta gente hay un dolor
y hay un hombre que no siente el corazon 

A veces me pregunto que paso
la culpa me humilla en mi soledad
quien escuchara el eco de su voz
quien seguira sus pasos que marcan el fracaso
 de mi temeridad

Mi fantasia de aplauso y mi actitud
no me dejo palmar mi realidad
ella que me entrego su juventud
ella que me esperaba en cada madrugada
no pudo aguantar mas

Y sucedio lo que nunca esperaba…

En medio de tanta gente…

En medio de tanta gente hay soledad…

En medio de tanta gente… 

En medio de tanta gente hay soledad…
"
73,"Mariposa herida

237",['Pena'],"Sin decir una palabra sabia que se iba
nadie me informo de nada fue mi corazon
y con su ultima mirada todo se perdia
sus pasos se entrelazaban, mi pena de amor

Yo no se lo que esperaba mi pobre alma herida
aferrada tardiamente a un vaga ilusion
solo se que yo la amaba con toda mi vida
hoy se ha tornado en castigo, de inmenso dolor

Todavia, todavia, la recuerdo con el alma
su sonrisa me invadia, en esa bella parranda 

En esa bella parranda
me hechizo con su mirada
volaba sin tener alas
yo no se pero volaba 

Como agua entre mis dedos se me iba escapando
yo en esta vida andariega ni cuenta me di
y entre parrandas y amigos yo me fui descuidando
y hoy me enfrento con mi pena, porque la perdi

Adios mariposa herida, quien te cuidara
si hoy tropiezas otro mundo, tan lejos de mi
se que vuelas confundida de tanto llorar
si supieras que mi vida, toda es para ti

Todavia, todavia, la recuerdo con el alma
su sonrisa me invadia, en esa bella parranda 

En esa bella parranda…
"
74,No más palabras,['Culpa'],"Yo tuve que decir no puedo
 a un cariño inmenso que llevaba en mi 
despues de llevarla tan dentro
 me dio sentimiento hacerla sufrir

Y me aleje como la hoja en el viento
 que va sin regreso que no ha de venir
 y se quedo en neblina de invierno
 se nubla aquel sueño de verse feliz

Muchos dicen que el culpable aqui he sido yo
no debi de ilusionarla con tanto amor
es que ronda tantas espinas aquella flor
eso es lo que me ha dolido y triste me voy
es que ronda tantas espinas aquella flor
eso es lo que me ha dolido y triste me voy

Yo me aleje, llevandola en mi 
y se quedo, llorandome asi




Yo me aleje, llevandola en mi
 y se quedo, llorandome asi
No mas palabras guardo en silencio, yo tambien estoy herido
quizas mañana al encontrarnos nos haya envuelto el olvido 
No mas palabras guardo en silencio, yo tambien estoy herido
quizas mañana al encontrarnos nos haya envuelto el olvido 

Por Dios como has matado tanto cariño 
porque me han lastimado y a ti lo mismo
Por Dios como has matado tanto cariño 
porque me han lastimado y a ti lo mismo

Entre la distancia y olvido se muere un cariño que puede vivir
acaba la ilusion de niño haberte querido me quedo sin ti
asi me fui mi arena del desierto que domina el viento no supe donde 
ir 
y ella quedo destrozada por dentro senti un frio intenso se quiso 
morir

Yo pase por inocente por que el amor
 hace que uno vea las cosas como no son,
me olvide de las espinas de aquella flor
y esas son las que han hincado mi corazon 
me olvide de las espinas de aquella flor
y esas son las que han hincado mi corazon

Yo me aleje llevandola en mi y se quedo llorandome asi 
Yo me aleje llevandola en mi y se quedo llorandome asi 

Aquel cariño que habia en tu alma, en mi alma solo ha quedado
fuego encendido queda en cenizas destruyan todo apagado
Aquel cariño que habia en tu alma, en mi alma solo ha quedado
fuego encendido queda en cenizas destruyan todo apagado

Por Dios como has matado tanto cariño 
porque me han lastimado y a ti lo mismo
Por Dios como has matado tanto cariño 
porque me han lastimado y a ti lo mismo
Por Dios como has matado tanto cariño 
porque me han lastimado y a ti lo mismo
"
75,Nochechita mía,"['Arrepentimiento', 'Culpa', '\nEsperanza', 'Pena']","Por que la noche es triste como es triste mi vivir
por que la noche es larga como es largo mi soñar
un mundo de ilusiones ella forjo para mi
¡oh! noche de silencio te quiero preguntar.

Si la mujer que quiero todavia pensara en mi
despues del cruel engaño con que yo le pague
lastimado de  ausencia yo siento morir
la furia de mi llanto lo  escuchas aqui
nochecita  del pueblo donde yo naci.



Mira que pasa las horas, que llego la noche que llego otro dia
y no hay que perder el tiempo, la vida es muy corta nochecita mia.
Llevale el recao’ temprano, que estoy impaciente dile por favor

Que ya no puedo mas
que ella es mi gran amor
se lo juro por Dios  


Llevale el recao’, antes que amanezca
que todavia tengo una esperanza
ya esta amaneciendo, aun no estoy vencido
dile que la quiero tanto, tanto

Que estoy muy triste
: anda’ y dile si
que me perdone
: si es  que  la ofendi  

Aun recuerdo ese tiempo, tiempo del primer amor
que me torno confuso y  lleno de desilusion
transcurre muchos años pa’ volverme a enamorar
un corazon dormido ha logrado despertar.

Si la mujer que quiero todavia pensara en mi…

Mira que pasa las horas…

Llevale el recao’ temprano…

: Que ya no puedo mas…

Llevale el recao’…

Que estoy muy triste…
"
76,Provincianita,"['Culpa', 'Arrepentimiento', '\nEsperanza']","Si, se que te falte 
se que derrumbe, tu castillo armado. 
si, yo te ilusione 
y despues pense que estaba jugando 

No se ve radiante la nevada matizada esta de calma, 
de tristeza, de distancia
Y ella es como tu que asi callada dice mas que mil palabras 
hiere mas que cualquier lanza. 

Provincianita, colombianita
es que tu no ves que cuando pasas 
por el frente y no me hablas 
mi alegria se va detras. 

No vez que diciembre vio la cita 
y al mirarte asi distinta 
por ti me va preguntar. 


Piensa corazon que las intrigas que hay veces que por envidia 
las cosas las tergiversan
no dejes por Dios que una mentira nos separe de por vida, 
vil temor que a mi me pesa. 



Yo se que tu resientes de veras 
yo se que tu eres sincera 
basta que seas de San Juan. 

Entonces no digas por lo que mas quieras 
que mientras el rio Cesar no se devuelva 
conmigo no volveras.

Y es quizas esta la ultima vez 
que te pido volver 
no te lo pido mas 

No, no me informes mal 
tu sabes que esta contrariando el alma. 
no negra no hay por que, 
niegate a saber que yo he dicho nada. 

Mi provinciana, mi colombiana 
es que tu no vez las calles tristes 
desde el dia que me dijiste 
que no me querias ver mas. 

Dime que los errores se pagan 
que esta noche o que mañana 
pero me perdonaras. 

Prometeme por Dios te lo pido 
que vas a volver conmigo 
di que reconciliaras 

Y deja de andar diciendo te lo ruego 
que el dia que San Juan Bautista baje el dedo 
ese dia tu volveras. 

Y es quizas esta la ultima vez…
"
77,Tres noches,"['Desconsuelo', 'Soledad', 'Culpa', '\nArrepentimiento']","Tres noches han pasado y yo lo mismo 
es mi castigo por herir tus sentimientos 
con lagrimas se me ha aguado tu olvido 
no se si volveras y muero 

En nuestra habitacion oigo tus pasos 
solo tres noches y ya parece un siglo 
cobarde fui lo se al causar tu llanto 
y hoy se que soy feliz solo contigo 

No se cuanto rencor habra en tu alma 
lo peor del mundo yo me lo merezco 
siempre me perdonaste y te engañaba 
pero hoy que tu no estas me estoy muriendo 

A quien puedo mentir yo 
tantas veces falle que un dia te cansaste 
de que te hiciera daño y de perdonarme 
y solo viste el fin 

Si pudieras oir hoy 
y donde este mi voz puedas escucharme 

 




y mandes tus recuerdos a perdonarme 
y regreses a mi

No se cuanto rencor habra en tu alma… 

Solo pienso en ti vuelve a mi 
por Dios ven a mi que me muero 
solo pienso en ti ven a mi 
por Dios vuelve a mi que me muero 

Ansioso porque el sol se me aparezca 
si ni un segundo yo he dejado de pensarte 
soñando que despierto y tu me besas 
y adentro el corazon me arde 

No se si tu tambien sientas lo mismo 
y donde estes no puedas conciliar el sueño 
tal vez te duela como me ha dolido 
de haberte hecho sangrar los sentimientos 

Tres noches y mi vida se termina 
no se donde estara tu voz de aliento 
o tiene otra ilusion si no es la misma 
de ayer desde que vi tus ojos bellos.

Si pudiera escuchar
la voz en el silencio de este rincon
en la tristeza de esta gran soledad
que me dejo tu adios

Te pudiera decir
que me quema la huella de tu pasion
que estoy llorando porque te quiero en mi
y arrepentido estoy

Tres noches y mi vida se termina 
no se donde estara tu voz de aliento 
no tiene otra ilusion si no es la misma 
de ayer desde que vi tus ojos bellos.

Solo pienso en ti vuelve a mi 
por Dios ven a mi que me muero .
"
78,"Un día muy triste

247","['Culpa', 'Arrepentimiento', '\nMelancolía']","Hoy que estoy solo he comprendido negra mia
que era muy cierto lo que nunca te crei
sin darme cuenta llego mi agonia
horrible pena que no presenti.

Sin esperanzas veo desangrar mi alegria
hoy se agiganta la verdad de estar sin ti
se hizo mas onda mi melancolia
hoy la tristeza se ha ensañado en mi.


Adios, adios te vas se que ha llegado el fin negrita mia
y me torturaras al mirarte partir con mil heridas
en ti me llevaras y viviras en mi todos los dias
y aunque llego el final te tendras que acordar, toda la vida.
: Yo partire cuando ya sepa que tambien te has ido,
 lejos de mi.
: y cantare mis penas a cualquier amigo
 que quiera oir, esta cancion. (bis)

Que gran sorpresa me ha deparado la vida
fui muy confiado y abuse de nuestro amor,
con tantas penas un hombre se descuida y asi origina la separacion

Quise olvidarte ya mi intencion fue fallida
y aunque quisiera no lo logra el corazon
porque yo se que ya uno se resigna y un dia muy triste ya no escu-
charan mi voz

Adios, adios te vas se que ha llegado el fin negrita mia…

Yo partire cuando ya sepa que tambien te has ido, lejos de mi.
"
79,Volví a llorar,"['Pena', 'Culpa', 'Confusión']","Sufro de nuevo corazon 
: como la vez aquella, como la vez aquella
Llenan de herida mi amor 
: como la vez aquella, como la vez aquella 

Que entregue toda el alma y el amor mas puro 
y cometi un error y se me cayo el mundo 
y fue que entre la espada y la pared me hallaba 
y no pudiste ver que asi cualquiera falla 

Como duele perder asi 
dandote todo y no veas nada 
sentencias no dejas decir 
llevo pesada cruz en mi alma 

: Hoy solo me pregunto que hago 
si las benditas penas me obligan a actuar 
en contra de mi vida que dolor me da 
tan solo ella se fija que tuve un error 

: Que hago
ampliamente me mira y no le importa ya 
no importan los esfuerzos que te hice al llegar 



que facil se te olvida lo que siento yo 
y donde, 
: escondia yo tus errores 
cuantos 
: dejaba pasar el alto 
mira,
: te di amor hasta el llanto 
y ella, 
: ella quiere que no llore

En el pasado quedara 
: otro amor que me quema, otro amor que me quema
quiero volverme a enamorar 
: asi otra vez me duela,  asi otra vez me duela


Si pa’ morir solo hace falta tener vida 
y mientras haya vida quedan esperanzas 
me animan las palabras que decia mi padre 
que al guajiro hasta la muerte le llega tarde
 
Entonces por que llorar asi 
si no puedo morir ahora 
si hay vida para ser feliz
 y vida pa’ buscar la gloria 

: hoy solo me pregunto que hago 
porque tenia un lamento me diste el adios 
si ese mismo lamento hizo cambiar tu amor 
fue mi camisa e´ fuerza no pude evitar 

: Que hago
 si nuevamente quieres que te brille el sol 
veras aquella herida que dejo tu amor 
ahora son dos en mi alma las que encontraras
 
Dices,
: que te encuentras afligida 
porque
: no quieres verme llorando 
yo se
 : que a ti te hiere mi llanto 
aunque
 : hiciste llanto mi vida
"
80,"Vuelve a mí

251","['Arrepentimiento', 'Culpa', '\nPena', 'Esperanza']","Yo que estaba enamorado y tenia la certeza que a mi me adoraba
 me sentia decepcionado de ver mi tristeza de ver mi de mala
bendita sea mi tristeza, eso ha cualquiera le pasa
 desconfie de su nobleza ay bendita sea esa muchacha
 desconfie de su nobleza ay bendita sea esa muchacha


 Explicaciones, que ella me daba no recibia
 era tanto su tormento que a mi modo no entendia
 Seguia sufriendo seguia penando no tenia vida
 mi negra se resintio la culpa la tengo yo aunque yo tambien sufria 
aunque yo tambien sufria la culpa la tengo yo 

Se me aumento el sufrimiento pero al mismo tiempo acrecento mi 
amor como hare para que cambies ya sufri bastante tenme compasion
 le pedi a San Juan Bautista que de mi pueblo es patron
 que ilumine tu sonrisa ¡ay! con ella mi salvacion
 que ilumine tu sonrisa ¡ay! con ella mi salvacion

 Yo estoy seguro que mil cantores te cantarian
 mis noches de serenata se ahogo en la tristeza mia
 vivo esperando vivo deseando que llegue el dia
 que tu me entregues tu amor
 yo reconozco mi error
 te prometo el alma mia 
te prometo el alma mia 
yo reconozco mi error 
te prometo el alma mia mujer
 yo reconozco mi error
 yo reconozco mi error mujer
 te prometo el alma mia
"
81,El amor hiere,['Depresión anímica'],"El hombre se va minando, si lleva una vida alegre 
si abusa mucho con las mujeres
tendra que guardar reservas, con el transcurrir del tiempo
de muchos anocheceres




Adios amigos, de la parranda, 
aqui me tienen, adolorido, del corazon
No son amores, que me fallaron,
 son otras cosas, que en esta vida, tristezas son

Cuando el amor llega nos hiere, nos causa placer y tormento
tantas esperanzas que brinda, y poquito a poco se mueren
tantas esperanzas que brinda, y poquito a poco se mueren
¡ay! ¡ay! ¡ay! corazon, el amor hiere
¡ay! ¡ay! ¡ay! corazon, y el alma duele

el amor hiere, el amor hiere, el amor hiere, el amor hiere

Guardados aqui en mis recuerdos, estan los viejos amores
: que se llevaron, que se llevaron
mi juventud ya perdida la primavera del alma
: me ha abandonado me ha abandonado

: Miren la brisa, por la montaña
como acaricia, muy levemente, sobre el palmar
: todo se acaba. nada perdura 
miren las aves como se alejan. de este lugar

Cuando el amor llega nos hiere, nos causa placer y tormento
tantas esperanzas que brinda, y poquito a poco se mueren
tantas esperanzas que brinda, y poquito a poco se mueren
¡ay! ¡ay! ¡ay! corazon, el amor hiere
¡ay! ¡ay! ¡ay! corazon, y el alma duele
y el amor hiere, el amor hiere
el amor hiere, el amor hiere
"
82,"El cantante

El cóndor legendario",['Pena'],"Cualquiera que me ve se imagina que toda mi vida la paso contento
y mi vieja que me ve en seguida la noto sonriendo
y la pobre que no esta sabida que su hijo anda muerto
¡ay! voy cantando esa es mi profesion aunque sufra yo no lo demuestro

Mil gracias me han dado por haber calmado penas con canciones
donde yo he cantado mi voz ha llevado mensajes de amor

Hasta el fin yo me he esperado
y mi Dios me ha apaciguado mis temores
¡ay! amigos yo he llorado
y ustedes me han ignorado mis dolores 

Hay personas que no son cantantes pero agonizantes como yo han 
vivido
hasta ellas quiero hacer llegar mis versos de alivio
mas pierde uno si muere su madre que es lo mas querido
¡ay! me resigno oyendo un acordeon que me toquen un paseo sentido

Tal vez con el tiempo no se oiga el eco a mi voz lastimera
solo mi lamento se escucha latiendo en la inmensidad

Soy el cantante que ha vuelto que lo han matado por dentro sus mil 
penas
¡ay! amigos los recuerdo parrandeando muy contentos en Villanueva

Datos  
identificadores

Autor: Alfonso Molina
Interpretacion: Alfonso (Poncho) Zuleta 
& Emiliano Zuleta Diaz
Album/Año: El condor Legendario ()
Sello discografico/Serial:CBS --

Expresion lirica, 
poetica  
y musical

Temple animico: Desolacion; Soledad; Martirio
Actitud lirica: Carminica; Apostrofica 
Figuras literarias: Prosopopeya; Apostrofe; 
Germinacion; Metonimia
Ritmo/Tempo: Paseo/Normal
Sentimiento estetico: Muy alto

Enlace para  
escuchar canto

https://www.youtube.com/watch?v=oSmufYDOSiQ




Soy folclor soy alegria 
soy tristeza y desengaño  
a mi me estan matando los años 
y no me compongo todavia . 

Oye soledad, amiga del silencio 
porque no vienes y calmas mis penas 
que mi alma esta llena de horribles tormentos . 

Soy un hombre solitario 
confundido en mis lamentos  
soy como esos condores que el tiempo 
los va convirtiendo en legendarios . 

Oye soledad, amiga del silencio… 

Cual gaviota solitaria 
que se levanta intranquila  
no encuentro la condor legendaria 
que endulce lo amargo de mi vida . 

Oye soledad, amiga del silencio… 

 : hiciste llanto mi vida
"
